,geometry,LATITUDE,LONGITUDE,CURRENT_SIZE,FIRE_NUMBER,FIRE_YEAR,IGNITION_DATE,FIRE_OUT_DATE,FIRE_CAUSE,FIRE_CENTRE
0,POINT (-123.2310166387507 53.06800574136247),53.068000000000005,-123.23100000000001,1812.9,C00002,1950,1950-06-01 07:00:00,1950-06-04 00:36:00,Lightning,Cariboo Fire Centre
1,POINT (-120.92701761982865 56.568006151664456),56.568000000000005,-120.927,76922.703,G00019,1950,1950-06-02 01:00:00,1950-06-02 19:12:00,Unknown,Prince George Fire Centre
2,POINT (-120.87601716892082 55.53900612805127),55.539,-120.876,1424.4,G00022,1950,1950-06-02 18:00:00,1950-06-02 20:00:00,Person,Prince George Fire Centre
3,POINT (-121.37601742817664 55.93400607255134),55.934000000000005,-121.376,2428.1,G00020,1950,1950-06-02 19:00:00,1950-06-03 01:30:00,Person,Prince George Fire Centre
4,POINT (-131.92202111531486 59.8760045728856),59.876000000000005,-131.922,12949.9,G00026,1950,1950-06-04 07:00:00,1950-06-04 15:00:00,Person,Prince George Fire Centre
5,POINT (-120.9800175443587 56.37600613897018),56.376000000000005,-120.98,1902.0,G00033,1950,1950-06-12 20:00:00,1950-06-12 20:42:00,Person,Prince George Fire Centre
6,POINT (-122.81601838891343 57.463005911620876),57.463,-122.816,2071.9,G00035,1950,1950-06-14 07:00:00,1950-06-14 07:30:00,Lightning,Prince George Fire Centre
7,POINT (-133.22802093749118 59.31800437767839),59.318000000000005,-133.228,5179.900000000001,R00029,1950,1950-06-22 07:00:00,1950-06-22 07:00:00,Lightning,Northwest Fire Centre
8,POINT (-123.62601775470557 55.76000576343392),55.76,-123.626,1294.9,G00081,1950,1950-07-04 21:00:00,1950-07-05 19:00:00,Lightning,Prince George Fire Centre
9,POINT (-119.55401478122592 49.039006003823864),49.039,-119.554,1288.9,K00236,1950,1950-07-12 21:00:00,1950-07-12 23:48:00,Person,Kamloops Fire Centre
10,POINT (-122.07001793406673 56.789006000878686),56.789,-122.07000000000001,99767.297,G00113,1950,1950-07-29 07:00:00,1950-07-29 07:00:00,Person,Prince George Fire Centre
