FIRE_LABEL,FIRE_NUMBER,STATION_CODE,weather_station_distance_km,FIRE_SIZE_HECTARES,IGNITION_DATE,avg_tmp_igd,avg_tmp_7d,avg_hmd_igd,avg_hmd_7d,avg_wind_igd,avg_wind_7d,precp_igd,total_precp_7d,total_precp_30d,MUNICIPALITY,POPULATION,municipality_distance_km
2019-K70014,K70014,292,15.285059112781678,2.8,2019-04-02,6.758333333333334,6.673214285714286,64.0,67.85714285714286,2.2041666666666666,2.817857142857143,0.0,2.0,5.0,Lillooet,2341,29.53838468598888
2019-K20034,K20034,311,14.117258428635315,1.5,2019-04-08,3.6833333333333336,5.5321428571428575,67.45833333333333,54.851190476190474,6.8500000000000005,9.213095238095239,0.0,1.5999999999999994,2.8,Ashcroft,1634,4.642230032498984
2019-K60058,K60058,291,15.758593898199148,113.4,2019-04-15,0.8666666666666667,1.136904761904762,54.083333333333336,75.0059523809524,6.166666666666667,6.5946428571428575,0.0,13.799999999999999,19.400000000000002,Merritt,7522,31.992453328323982
2019-G80070,G80070,132,38.89820808823976,1.6,2019-04-17,7.154166666666668,4.178571428571429,46.875,62.80952380952381,12.025,7.444642857142858,0.0,0.6,7.6,Hudson's Hope,1027,19.815040201945187
2019-G80072,G80072,1045,36.342785451302696,2.0,2019-04-19,6.325,4.681806418219462,43.29166666666666,62.22230848861284,15.504166666666668,12.239078674948242,0.0,12.4,13.600000000000001,Fort St John,22377,3.3828350303824397
2019-V10123,V10123,1339,0.9500854735726028,2.4,2019-04-26,10.339130434782607,9.817805383022774,57.65217391304348,70.7468944099379,9.178260869565218,5.468012422360248,0.0,0.0,0.0,Lytton,222,26.29249706705426
2019-K70117,K70117,1055,13.738919050437422,1.1,2019-04-26,11.6375,11.078571428571427,39.5,54.13095238095237,9.579166666666667,9.977380952380953,0.0,5.199999999999999,6.8,Lytton,222,0.1121283628364858
2019-V60139,V60139,934,7.268327468568604,1.5,2019-04-28,8.1625,9.181547619047619,56.04166666666666,73.36309523809523,5.054166666666666,5.342261904761905,,,,Lake Cowichan,3431,0.0
2019-G80129,G80129,1045,51.99466945954982,1.5,2019-04-27,2.2916666666666665,4.830357142857143,57.66666666666666,40.94047619047619,9.070833333333333,14.188690476190475,0.0,1.6,15.200000000000001,Taylor,1455,36.78187988322715
2019-V80138,V80138,1093,18.869920761553598,4.0,2019-04-27,8.729166666666666,9.804166666666665,49.41666666666666,64.41071428571428,10.083333333333334,4.5738095238095235,0.0,6.4,131.4,Campbell River,35949,5.196457859758214
2019-C10094,C10094,211,38.02842771038927,12.7,2019-02-21,-13.454166666666666,-12.555357142857142,57.0,68.0,5.054166666666666,5.5130952380952385,0.0,2.0,16.6,Vanderhoof,4575,88.35845292628105
2019-C40192,C40192,244,19.2754742032787,2.0,2019-05-08,10.658333333333331,6.352380952380953,42.375,51.904761904761905,11.370833333333332,9.26845238095238,0.0,3.399999999999998,43.2,100 Mile House,1998,24.80557595870189
2019-K20194,K20194,307,16.171308977158954,2.3,2019-05-08,11.3875,7.358928571428572,50.25,56.589285714285715,11.395833333333334,7.992261904761905,0.0,0.0,10.0,Kamloops,100630,23.43179213992987
2019-V60236,V60236,944,13.081199984004083,3.4,2019-05-11,12.779166666666669,13.947619047619046,75.75,64.2797619047619,5.966666666666666,5.485119047619047,0.0,0.0,123.2,Sooke,14800,23.43175958804497
2019-G80227,G80227,1045,48.91263332236749,9.0,2019-05-06,5.708333333333333,0.41878881987577643,66.58333333333333,69.10636645962732,6.979166666666667,9.095419254658385,0.0,4.4,21.000000000000004,Fort St John,22377,19.651356372733503
2019-G10272,G10272,190,26.12626069182102,8.3,2019-05-13,10.504166666666666,10.35,46.833333333333336,60.19642857142856,4.766666666666667,4.663095238095238,0.0,0.0,37.0,Prince George,80196,26.507395570986294
2019-G80260,G80260,136,30.52495271684577,298.6,2019-04-08,5.654166666666666,-1.798214285714286,42.083333333333336,72.37500000000001,18.0875,11.589880952380954,,,,Hudson's Hope,1027,30.74034888892161
2019-G90283,G90283,121,61.97486229471448,28.3,2019-05-12,9.795833333333333,10.194047619047621,43.958333333333336,47.46428571428571,13.129166666666668,7.942857142857143,0.0,0.2,5.0,Fort St John,22377,232.82882941670587
2019-G80318,G80318,1045,24.862990484098628,7.6,2019-05-19,14.29090909090909,9.280357142857143,38.68181818181818,52.577380952380956,12.745454545454544,11.664880952380953,0.0,0.6,8.4,Fort St John,22377,43.69109003149091
2019-G60370,G60370,148,61.99285039887631,12.6,2019-05-27,16.579166666666666,11.379166666666666,35.25,55.845238095238095,7.270833333333333,5.867857142857143,0.0,8.0,21.0,Hudson's Hope,1027,132.43259558658826
2019-N60437,N60437,390,10.031958707292029,11.2,2019-05-30,13.895833333333334,12.72797619047619,75.79166666666667,70.10119047619047,4.091666666666667,3.674404761904762,0.4,7.399999999999999,17.4,Penticton,37460,24.2751190789294
2019-K20417,K20417,232,8.223210030361413,15.4,2019-05-30,16.254166666666666,12.153571428571427,55.04166666666666,64.00595238095238,5.133333333333334,5.05952380952381,0.0,10.600000000000001,23.599999999999998,Clearwater,2402,26.481547521533955
2019-K20467,K20467,291,11.65498958464874,1.6,2019-06-03,11.075,15.520238095238096,46.25,47.982142857142854,8.950000000000001,5.922023809523809,0.0,0.0,48.8,Kamloops,100630,27.392613550041453
2019-N10484,N10484,1075,9.262700362227145,47.0,2019-06-04,18.916666666666668,17.998809523809523,30.625,57.22619047619048,9.704166666666667,5.849404761904762,0.0,6.200000000000001,26.4,Fernie,6267,53.9862801536684
2019-K50430,K50430,328,4.32868961355149,2.9,2019-06-01,23.891666666666666,19.052380952380954,31.08333333333333,52.52380952380952,5.0625,3.2130952380952382,0.0,2.2,16.200000000000003,Penticton,37460,0.4536381783430895
2019-N10122,N10122,886,19.83893492213257,6.9,2019-04-25,5.8125,7.182738095238095,49.0,70.52976190476191,6.216666666666666,6.827380952380952,0.0,12.2,46.4,Fernie,6267,7.37671728590483
2019-G90535,G90535,118,47.50107994117344,1.2,2019-06-09,10.1125,6.305952380952382,72.58333333333333,79.2797619047619,7.7875,9.160119047619046,3.2,12.4,25.4,Fort St John,22377,346.29688593453744
2019-K20596,K20596,322,21.105974361847224,3.0,2019-06-15,22.695833333333336,18.68097826086957,34.291666666666664,48.82505175983437,8.366666666666667,11.677872670807451,0.0,1.6,10.0,Kamloops,100630,5.244724400394509
2019-C40654,C40654,244,19.583253811433565,4.2,2019-06-18,12.016666666666666,16.517261904761906,58.04166666666666,48.11904761904761,11.208333333333334,8.636904761904763,0.0,0.8,32.2,100 Mile House,1998,22.547674028173525
2019-N20636,N20636,790,14.472175657905606,4.2,2019-06-13,17.860869565217392,10.861309523809524,54.47826086956522,65.87499999999999,7.647826086956522,7.184523809523809,0.0,9.8,27.2,Canal Flats,768,26.579920593756047
2019-G90640,G90640,599,55.83302564437104,13.5,2019-06-17,18.92083333333333,18.470238095238095,66.91666666666667,58.339285714285715,5.366666666666667,6.503571428571429,0.0,3.4000000000000004,27.200000000000003,Fort St John,22377,354.16301711554337
2019-V50714,V50714,1251,26.461707540235672,9.1,2019-06-24,13.429166666666667,15.438690476190477,73.16666666666667,67.64880952380952,4.633333333333334,4.816666666666667,0.0,0.0,6.2,Parksville,13426,36.89385063311734
2019-G90719,G90719,118,31.997713943508007,5.5,2019-06-25,16.816666666666666,10.94702380952381,62.458333333333336,83.80952380952381,7.341666666666668,9.413690476190476,1.4,53.800000000000004,83.4,Fort St John,22377,350.4886724029095
2019-R90909,R90909,108,37.84507920252182,5.5,2019-07-06,20.675,18.740476190476187,48.875,56.42857142857143,7.970833333333334,8.535119047619046,0.0,2.1999999999999993,56.4,Stewart,491,274.84630180180744
2019-G80933,G80933,136,38.41560601807258,10.3,2019-07-12,16.008333333333333,12.769887539996237,67.54166666666667,74.71612083568606,14.7,8.845400432900432,0.0,0.0,86.6,Fort St John,22377,35.49110022809772
2019-VA0920,VA0920,1199,38.17740897487007,33.3,2019-07-10,10.770833333333334,12.261309523809526,93.16666666666669,79.25,4.75,9.857738095238094,7.0,2.4,71.8,Kitimat,8395,177.14038000498564
2019-G10597,G10597,153,22.0348725023168,2.7,2019-06-14,14.020833333333334,12.080357142857144,74.125,75.39880952380952,5.270833333333333,7.4750000000000005,0.0,12.600000000000003,37.6,Mackenzie,3868,36.180442746573824
2019-G90982,G90982,118,62.68711433718836,4.1,2019-07-17,20.054166666666667,16.63214285714286,50.0,62.839285714285715,8.495833333333334,9.633333333333335,0.0,5.2,73.80000000000001,Fort St John,22377,400.70574406098416
2019-G90969,G90969,440,34.53789489149769,12.9,2019-07-07,15.995833333333332,15.991071428571429,69.79166666666667,67.45833333333334,6.9625,5.525595238095238,0.0,6.8,54.2,Stewart,491,382.044542669337
2019-G90998,G90998,440,35.011120168577094,1.5,2019-07-20,17.204166666666666,15.574404761904761,76.5,73.83928571428571,5.404166666666666,5.277380952380952,0.0,19.6,51.599999999999994,Stewart,491,436.9594971427417
2019-G91031,G91031,117,72.68205356643956,2.3,2019-07-22,19.65,18.041071428571428,68.20833333333333,68.01785714285714,3.7916666666666665,5.817857142857143,4.6,17.8,38.60000000000001,Fort St John,22377,226.34100085518045
2019-G41084,G41084,654,12.144439787671065,1.7,2019-07-24,14.129166666666668,13.91547619047619,57.083333333333336,70.19047619047619,12.9375,8.91904761904762,1.6,8.2,64.4,Fraser Lake,969,9.88071402034354
2019-R90897,R90897,1377,5.180815048393781,48.4,2019-07-07,22.77083333333333,21.47678571428571,50.5,54.851190476190474,6.470833333333334,8.224404761904763,0.0,0.6,32.2,Stewart,491,56.55856676289609
2019-K51089,K51089,334,20.914653992949614,387.4,2019-07-23,21.695833333333336,16.798809523809524,49.25,49.857142857142854,6.404166666666666,6.866071428571428,0.0,2.0,33.4,Osoyoos,5527,12.437489488914943
2019-R90918,R90918,1377,49.82924206785099,136.8,2019-07-10,19.7125,21.49285714285714,62.875,54.47023809523809,6.883333333333333,7.302380952380952,0.0,11.0,42.2,Stewart,491,100.6892828787611
2019-N11171,N11171,791,8.678649499269525,32.9,2019-07-30,19.1125,17.135119047619046,43.958333333333336,57.31547619047619,7.2875,7.657738095238095,0.0,5.4,61.400000000000006,Cranbrook,21278,27.814233662926355
2019-R51309,R51309,113,40.63224210215874,44.4,2019-08-07,20.40833333333333,16.80892857142857,68.20833333333333,70.66666666666667,4.454166666666667,4.175595238095238,0.0,22.0,72.80000000000001,Stewart,491,50.77015075311189
2019-N40062,N40062,1262,12.94638185377243,27.7,2019-04-16,0.0454545454545454,-0.25176427092576176,75.45454545454545,80.96725820763088,2.909090909090909,3.6202898550724636,,0.0,0.0,Revelstoke,8590,1.7339396126850946
2019-C21414,C21414,206,41.89540553246053,1.2,2019-08-14,13.725,15.35,67.45833333333333,66.53571428571429,4.7,6.357142857142857,3.6,6.200000000000004,72.2,Williams Lake,11381,46.84775965916564
2019-K21435,K21435,311,17.45957733538171,5.8,2019-08-17,15.208333333333334,16.536309523809525,58.75,62.327380952380956,8.495833333333334,7.814285714285715,0.0,7.9999999999999964,30.4,Ashcroft,1634,1.2637215119124143
2019-V71472,V71472,1383,15.121232731652857,3.1,2019-08-19,14.458333333333334,15.29,75.29166666666667,77.85208333333333,12.395833333333334,6.5625,0.0,0.0,0.0,Port Alberni,18631,3.8964158668262887
2019-K60152,K60152,302,26.495092659874818,17.1,2019-05-01,4.95,3.229761904761905,48.958333333333336,56.06547619047619,13.291666666666666,8.68452380952381,0.0,2.2,9.399999999999999,Merritt,7522,2.837780012843696
2019-K60153,K60153,302,22.631473541029216,1.6,2019-05-01,4.95,3.229761904761905,48.958333333333336,56.06547619047619,13.291666666666666,8.68452380952381,0.0,2.2,9.399999999999999,Merritt,7522,14.011546569010529
2019-N71697,N71697,380,5.0980793403237366,4.8,2019-08-03,18.5875,19.76547619047619,54.5,45.767857142857146,11.854166666666666,9.566666666666666,0.0,0.0,63.6,Kaslo,1059,7.01461692239368
2019-V31674,V31674,1083,18.214657950495315,1.1,2019-09-04,19.0,19.365864389233955,58.79166666666666,60.03053830227743,5.0875,5.296842650103519,0.0,0.0,4.000000000000008,Pemberton,3251,29.220518224533844
2019-K41592,K41592,882,21.31566310915998,5.3,2019-08-31,17.941666666666666,14.438095238095238,65.58333333333333,67.44642857142857,5.733333333333333,5.747619047619047,0.0,13.999999999999993,52.599999999999994,Sicamous,2708,15.93417283987696
2019-K51708,K51708,283,15.864147210052035,11.4,2019-09-05,15.204166666666666,15.536309523809523,59.16666666666666,60.541666666666664,5.216666666666667,7.2232142857142865,0.0,18.4,29.2,Peachland,5710,22.51739154992897
2019-K61709,K61709,302,14.739425160698325,0.4,2019-09-03,13.504166666666668,16.348214285714285,70.25,58.05357142857143,5.645833333333333,9.236309523809524,0.0,0.0,8.0,Merritt,7522,27.98138119840852
2019-K61721,K61721,279,14.798967633817009,8.3,2019-09-03,14.475,14.758333333333331,60.583333333333336,62.142857142857146,7.608333333333333,7.248214285714285,0.0,5.199999999999998,7.6000000000000005,Merritt,7522,25.23418265844899
2019-K61682,K61682,302,6.973569868603915,4.3,2019-09-04,14.6375,16.007738095238096,68.58333333333333,60.732142857142854,12.025,8.820833333333335,4.4,0.0,8.0,Merritt,7522,18.910316566856405
2019-K71327,K71327,1029,27.89272628450068,1.1,2019-08-09,21.2125,19.51785714285714,39.91666666666666,48.44642857142857,5.5625,6.702380952380953,0.0,9.2,24.799999999999997,Lillooet,2341,28.021322808873308
2020-C50012,C50012,209,13.161135742874352,1.2,2020-04-06,1.2708333333333333,-4.1571428571428575,42.208333333333336,48.42857142857143,7.6875,9.034523809523808,0.0,0.0,1.2,Williams Lake,11381,67.70429142983191
2020-C50010,C50010,209,18.234694618469057,13.2,2020-04-06,1.2708333333333333,-4.1571428571428575,42.208333333333336,48.42857142857143,7.6875,9.034523809523808,0.0,0.0,1.2,Williams Lake,11381,66.9849583672687
2020-C50036,C50036,209,22.4044824743829,0.3,2020-04-10,7.0125,0.789285714285714,48.333333333333336,42.517857142857146,7.854166666666667,6.692261904761905,0.0,0.0,1.2,Williams Lake,11381,62.95421101691515
2020-V30030,V30030,301,8.36411488713951,1.8,2020-04-08,7.975,4.1535714285714285,65.08333333333333,61.095238095238095,3.8666666666666663,5.1309523809523805,0.0,4.4,29.200000000000003,Pemberton,3251,7.947321569669724
2020-C50047,C50047,209,0.1815779192433098,0.8,2020-04-12,0.8041666666666667,3.395833333333333,39.625,40.24404761904761,7.241666666666667,7.436904761904762,0.0,0.0,1.2,Williams Lake,11381,73.75083651573522
2020-C20057,C20057,210,0.8342524472805309,3.8,2020-04-13,4.4375,2.1077380952380933,44.54166666666666,47.351190476190474,10.3875,10.736904761904762,0.0,0.0,3.8000000000000003,Williams Lake,11381,28.96105626099041
2020-V10062,V10062,1040,21.17284959786084,10.9,2020-04-14,7.908333333333334,6.691071428571428,54.54166666666666,56.148809523809526,5.666666666666667,6.018452380952381,0.0,6.0,107.8,Hope,6796,21.950230764825385
2020-N10043,N10043,412,0.5789738929475611,1.7,2020-04-11,0.7333333333333334,4.921428571428572,38.083333333333336,53.86309523809524,24.60833333333333,7.986309523809524,0.0,5.8000000000000105,17.600000000000005,Fernie,6267,20.971106958078373
2020-K70045,K70045,1055,2.7108108847680965,30.8,2020-04-12,7.1375,8.93452380952381,22.875,46.72619047619047,9.0,9.213095238095237,0.0,1.0,8.4,Lytton,222,15.454634607663198
2020-K60048,K60048,291,9.98015838119762,68.7,2020-04-12,-0.9208333333333332,2.2535714285714286,29.125,48.39880952380952,7.295833333333333,5.894642857142857,0.0,0.2,9.8,Merritt,7522,27.16253316343532
