MOF_FIRE_ZONE_ID,FEATURE_AREA_SQM,GEOMETRY.AREA,GEOMETRY.LEN,MOF_FIRE_CENTRE_NAME,MOF_FIRE_ZONE_NAME,HEADQUARTERS_CITY_NAME,OBJECTID
481.0,6590044104.883,0,0,Southeast Fire Centre,Boundary Fire Zone,Grand Forks,1092
482.0,58441116682.6391,0,0,Coastal Fire Centre,Fraser Fire Zone,Abbotsford,1093
483.0,9302813501.0172,0,0,Kamloops Fire Centre,Penticton Fire Zone,Penticton,1094
484.0,11183093890.9093,0,0,Kamloops Fire Centre,Merritt Fire Zone,Merritt,1095
485.0,10985137731.3203,0,0,Coastal Fire Centre,Pemberton Fire Zone,Pemberton,1096
486.0,14849985718.8238,0,0,Southeast Fire Centre,Cranbrook Fire Zone,Cranbrook,1097
487.0,19050127904.9134,0,0,Coastal Fire Centre,Sunshine Coast Fire Zone,Sechelt,1098
488.0,11250264890.5907,0,0,Kamloops Fire Centre,Lillooet Fire Zone,Lillooet,1099
489.0,12408381501.6934,0,0,Southeast Fire Centre,Kootenay Lake Fire Zone,Kootenay Lake,1100
490.0,13890717228.4238,0,0,Southeast Fire Centre,Arrow Fire Zone,Castlegar,1101
491.0,13156010316.6685,0,0,Southeast Fire Centre,Invermere Fire Zone,Invermere,1102
492.0,15188821826.2512,0,0,Kamloops Fire Centre,Vernon Fire Zone,Vernon,1103
493.0,12360588439.1223,0,0,Cariboo Fire Centre,100 Mile House Fire Zone,100 Mile House,1104
494.0,21443106340.3536,0,0,Southeast Fire Centre,Columbia Fire Zone,Revelstoke,1105
495.0,24654197981.4482,0,0,Kamloops Fire Centre,Kamloops Fire Zone,Kamloops,1106
496.0,28713040930.7052,0,0,Cariboo Fire Centre,Chilcotin Fire Zone,Williams Lake,1107
497.0,92501775419.7602,0,0,Coastal Fire Centre,North Island Mid Coast Fire Zone,Campbell River,1108
498.0,20772328702.9615,0,0,Cariboo Fire Centre,Quesnel Fire Zone,Quesnel,1109
499.0,17625493117.5147,0,0,Prince George Fire Centre,Robson Valley Fire Zone,Valemount,1110
500.0,33967007043.416,0,0,Prince George Fire Centre,Prince George Fire Zone,Prince George,1111
501.0,30791913072.6182,0,0,Northwest Fire Centre,Nadina Fire Zone,Burns Lake,1112
502.0,20637238809.0586,0,0,Northwest Fire Centre,Bulkley Fire Zone,Hazelton,1113
503.0,29898304644.7432,0,0,Prince George Fire Centre,Dawson Creek Fire Zone,Dawson Creek,1114
504.0,80456147101.8482,0,0,Northwest Fire Centre,Skeena Fire Zone,Terrace,1115
505.0,45688507066.6864,0,0,Prince George Fire Centre,VanJam Fire Zone,Vanderhoof,1116
506.0,64106653377.9426,0,0,Prince George Fire Centre,Mackenzie Fire Zone,Mackenzie,1117
507.0,46766432186.0395,0,0,Prince George Fire Centre,Fort St. John Fire Zone,Fort St. John,1118
508.0,98680637485.6918,0,0,Prince George Fire Centre,Fort Nelson Fire Zone,Fort Nelson,1119
509.0,131318834611.425,0,0,Northwest Fire Centre,Cassiar Fire Zone,Dease Lake,1120
510.0,20634113695.321,0,0,Cariboo Fire Centre,Central Cariboo Fire Zone,Williams Lake,1121
511.0,8875892518.8205,0,0,Coastal Fire Centre,South Island Fire Zone,Cobble Hill,1122
512.0,13575198797.3523,0,0,Coastal Fire Centre,Mid Island Fire Zone,Cobble Hill,1123
